table_name,column_name,data_type,key_type,business_description
shipments,quantity_shipped,INT,—,Units actually dispatched
shipments,fulfillment_rate,FLOAT,—,quantity_shipped / quantity_ordered
shipments,otif_flag,INT,—,1 = On-Time AND In-Full (OTIF compliance flag)
shipments,estimated_shipping_cost,FLOAT,—,DC cost_per_order × quantity_shipped
returns,return_id,VARCHAR,PK,Unique return event identifier
returns,order_id,VARCHAR,FK → orders,Original order being returned
returns,customer_id,VARCHAR,FK → customers,Returning customer
returns,product_id,VARCHAR,FK → products,SKU being returned
returns,return_date,DATE,—,Date return was initiated by customer
returns,days_to_return,INT,—,Days between order_date and return_date
returns,quantity_returned,INT,—,Units returned
returns,return_reason,VARCHAR,—,Coded reason for return
returns,return_channel,VARCHAR,—,Online Portal | In-Store | Carrier Pickup
returns,refund_amount,FLOAT,—,Net refund issued to customer in USD
returns,return_disposition,VARCHAR,—,What happened to returned stock (WMS disposition code)
